local_15min,HVAC unit,Electric vehicle charger,Washing machine,Dishwasher,Clothes dryer,Microwave,Oven,Cooktop,Pool pump,Refrigerator,Electric water heater,Kitchen sink garbage disposal,Solar power generation
2024-01-15 00:00:00+00:00,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.12,0.0,0.0
2024-01-15 00:15:00+00:00,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 00:30:00+00:00,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 00:45:00+00:00,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 01:00:00+00:00,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 01:15:00+00:00,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 01:30:00+00:00,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 01:45:00+00:00,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 02:00:00+00:00,0.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 02:15:00+00:00,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 02:30:00+00:00,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 02:45:00+00:00,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 03:00:00+00:00,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 03:15:00+00:00,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 03:30:00+00:00,0.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 03:45:00+00:00,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 04:00:00+00:00,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 04:15:00+00:00,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 04:30:00+00:00,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 04:45:00+00:00,0.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 05:00:00+00:00,0.85,1.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 05:15:00+00:00,1.05,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 05:30:00+00:00,1.08,1.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
2024-01-15 05:45:00+00:00,1.02,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.0,0.0
2024-01-15 06:00:00+00:00,1.15,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.15
