hour_start,hour_end,month,day_type_id,rate_kwh,adjustment_kwh
0,5,1,1,0.0955,0.0
5,9,1,1,0.1215,0.0
9,17,1,1,0.0955,0.0
17,21,1,1,0.1215,0.0
21,24,1,1,0.0955,0.0
0,5,2,1,0.0955,0.0
5,9,2,1,0.1215,0.0
9,17,2,1,0.0955,0.0
17,21,2,1,0.1215,0.0
21,24,2,1,0.0955,0.0
0,5,3,1,0.0955,0.0
5,9,3,1,0.1215,0.0
9,17,3,1,0.0955,0.0
17,21,3,1,0.1215,0.0
21,24,3,1,0.0955,0.0
0,5,4,1,0.0955,0.0
5,9,4,1,0.1215,0.0
9,17,4,1,0.0955,0.0
17,21,4,1,0.1215,0.0
21,24,4,1,0.0955,0.0
0,14,5,1,0.0928,0.0
14,20,5,1,0.2295,0.0
20,24,5,1,0.0928,0.0
0,14,6,1,0.0928,0.0
14,20,6,1,0.2295,0.0
20,24,6,1,0.0928,0.0
0,14,7,1,0.0931,0.0
14,20,7,1,0.2610,0.0
20,24,7,1,0.0931,0.0
0,14,8,1,0.0931,0.0
14,20,8,1,0.2610,0.0
20,24,8,1,0.0931,0.0
0,14,9,1,0.0928,0.0
14,20,9,1,0.2295,0.0
20,24,9,1,0.0928,0.0
0,14,10,1,0.0928,0.0
14,20,10,1,0.2295,0.0
20,24,10,1,0.0928,0.0
0,5,11,1,0.0955,0.0
5,9,11,1,0.1215,0.0
9,17,11,1,0.0955,0.0
17,21,11,1,0.1215,0.0
21,24,11,1,0.0955,0.0
0,5,12,1,0.0955,0.0
5,9,12,1,0.1215,0.0
9,17,12,1,0.0955,0.0
17,21,12,1,0.1215,0.0
21,24,12,1,0.0955,0.0
0,5,1,2,0.0815,0.0
5,9,1,2,0.0975,0.0
9,17,1,2,0.0815,0.0
17,21,1,2,0.0975,0.0
21,24,1,2,0.0815,0.0
0,5,2,2,0.0815,0.0
5,9,2,2,0.0975,0.0
9,17,2,2,0.0815,0.0
17,21,2,2,0.0975,0.0
21,24,2,2,0.0815,0.0
0,5,3,2,0.0815,0.0
5,9,3,2,0.0975,0.0
9,17,3,2,0.0815,0.0
17,21,3,2,0.0975,0.0
21,24,3,2,0.0815,0.0
0,5,4,2,0.0815,0.0
5,9,4,2,0.0975,0.0
9,17,4,2,0.0815,0.0
17,21,4,2,0.0975,0.0
21,24,4,2,0.0815,0.0
0,14,5,2,0.0788,0.0
14,20,5,2,0.1945,0.0
20,24,5,2,0.0788,0.0
0,14,6,2,0.0788,0.0
14,20,6,2,0.1945,0.0
20,24,6,2,0.0788,0.0
0,14,7,2,0.0791,0.0
14,20,7,2,0.2210,0.0
20,24,7,2,0.0791,0.0
0,14,8,2,0.0791,0.0
14,20,8,2,0.2210,0.0
20,24,8,2,0.0791,0.0
0,14,9,2,0.0788,0.0
14,20,9,2,0.1945,0.0
20,24,9,2,0.0788,0.0
0,14,10,2,0.0788,0.0
14,20,10,2,0.1945,0.0
20,24,10,2,0.0788,0.0
0,5,11,2,0.0815,0.0
5,9,11,2,0.0975,0.0
9,17,11,2,0.0815,0.0
17,21,11,2,0.0975,0.0
21,24,11,2,0.0815,0.0
0,5,12,2,0.0815,0.0
5,9,12,2,0.0975,0.0
9,17,12,2,0.0815,0.0
17,21,12,2,0.0975,0.0
21,24,12,2,0.0815,0.0
